Account Number,Score_Busy,Score_Cleanliness,Score_Cost,Score_Overall,Date
5188,1,8,2,3,28/3/2019
724,3,9,9,7,24/12/2019
724,2,10,8,5,15/9/2019
724,2,10,6,4,5/6/2019
724,4,10,4,4,23/3/2019
297,7,8,9,6,14/12/2019
297,9,6,10,10,9/9/2019
297,10,7,8,9,15/6/2019
297,10,8,7,8,3/3/2019
5617,7,6,8,6,4/12/2019
5617,10,4,9,8,18/9/2019
5617,9,5,9,6,30/6/2019
5617,8,7,7,9,29/3/2019
663,10,8,10,10,10/12/2019
663,10,9,10,7,14/9/2019
663,9,8,9,7,8/6/2019
663,9,7,8,6,8/3/2019
5007,3,9,8,4,19/12/2019
5007,5,8,8,5,17/9/2019
5007,6,6,10,5,18/6/2019
5007,3,10,6,5,10/3/2019
8487,10,8,7,8,9/12/2019
8487,10,7,7,8,19/9/2019
8487,8,5,9,9,15/6/2019
8487,6,7,8,6,12/3/2019
5938,6,7,4,7,16/12/2019
5938,8,6,3,3,21/9/2019
5938,8,4,4,7,21/6/2019
5938,9,2,6,7,17/3/2019
7406,3,7,9,4,28/12/2019
7406,1,5,7,2,15/9/2019
7406,1,6,9,3,8/6/2019
7406,1,7,10,4,14/3/2019
7165,4,6,1,1,26/12/2019
7165,2,7,5,6,8/9/2019
7165,4,5,3,2,14/6/2019
7165,6,6,4,4,26/3/2019
12202,6,3,3,2,4/12/2019
12202,7,5,2,3,9/9/2019
508,9,4,8,8,23/12/2019
508,10,2,8,6,17/9/2019
508,7,9,3,4,8/6/2019
10559,8,10,10,8,28/12/2019
10559,8,6,7,6,8/9/2019
10559,7,8,8,8,18/6/2019
10559,5,10,6,5,17/3/2019
7558,6,8,9,6,21/12/2019
7558,4,8,10,6,26/9/2019
7558,2,8,10,7,4/6/2019
5349,10,5,3,6,4/12/2019
5349,9,4,1,2,8/9/2019
5349,10,6,1,5,8/6/2019
5349,10,2,6,6,21/3/2019
2968,4,10,10,8,17/12/2019
6240,7,3,9,5,17/12/2019
6240,7,3,7,5,17/9/2019
6240,8,2,9,7,26/6/2019
6240,5,3,7,7,9/3/2019
10449,8,6,10,6,7/12/2019
10449,7,7,10,10,23/9/2019
10449,9,9,10,10,26/6/2019
10449,9,7,10,8,17/3/2019
3236,8,8,4,5,3/12/2019
3236,10,8,5,7,30/9/2019
3236,9,10,6,6,19/6/2019
3236,10,10,7,10,30/3/2019
11094,6,6,4,5,21/12/2019
11094,6,5,2,2,27/9/2019
3510,3,3,7,5,19/12/2019
3510,3,4,9,3,23/9/2019
10704,1,8,10,8,21/12/2019
10704,10,8,7,9,6/9/2019
10704,10,7,9,10,25/6/2019
11920,7,7,8,9,22/12/2019
11920,6,5,7,5,9/9/2019
11920,6,4,6,5,24/6/2019
11920,10,1,8,8,28/3/2019
4480,9,5,3,4,18/12/2019
3284,6,10,4,7,14/12/2019
3284,6,9,5,5,20/9/2019
3284,7,7,7,8,13/6/2019
2029,3,3,1,1,25/12/2019
2029,4,5,1,3,9/9/2019
2029,1,4,2,1,29/6/2019
2029,2,3,1,1,1/3/2019
7059,10,8,8,8,30/12/2019
7059,10,9,8,10,24/9/2019
7059,10,8,7,6,13/6/2019
7059,10,10,6,8,1/3/2019
2107,4,7,1,6,21/12/2019
2107,4,7,1,6,6/9/2019
2107,4,9,3,4,7/6/2019
2107,4,8,5,5,18/3/2019
11242,6,6,3,4,26/12/2019
11242,5,5,2,3,23/9/2019
11242,4,4,4,3,10/6/2019
11242,6,3,2,5,15/3/2019
8292,5,10,8,8,28/12/2019
8292,5,10,8,6,20/9/2019
8322,10,7,6,9,24/12/2019
8322,8,6,4,6,23/9/2019
8322,7,10,1,6,11/6/2019
8322,8,10,2,6,6/3/2019
492,1,2,7,5,24/12/2019
492,3,1,5,3,17/9/2019
492,3,4,6,3,7/6/2019
492,4,3,4,2,10/3/2019
10157,1,7,6,5,30/12/2019
10157,3,7,6,4,23/9/2019
10157,3,5,5,5,29/6/2019
10157,2,3,5,5,20/3/2019
12201,2,8,10,6,8/12/2019
12201,4,7,9,6,26/9/2019
12201,4,6,8,6,1/6/2019
12201,5,8,7,8,10/3/2019
227,4,10,7,7,3/12/2019
227,3,10,8,6,7/9/2019
227,5,8,6,4,10/6/2019
227,4,7,7,5,8/3/2019
8011,6,7,8,6,7/12/2019
8011,7,6,7,4,7/9/2019
8011,9,5,8,8,15/6/2019
8011,8,7,10,7,13/3/2019
3208,3,7,9,4,9/12/2019
5597,5,5,8,6,31/12/2019
5597,4,4,7,4,28/9/2019
9270,3,7,5,5,27/12/2019
9270,2,7,5,5,11/9/2019
9270,3,9,3,3,4/6/2019
9270,3,8,3,2,30/3/2019
2114,1,8,3,4,20/12/2019
2114,2,10,3,3,10/9/2019
2114,4,9,1,2,2/6/2019
2114,4,10,2,5,9/3/2019
10156,4,3,6,6,18/12/2019
10156,3,1,6,1,16/9/2019
10156,2,2,8,5,19/6/2019
10156,9,2,8,8,19/3/2019
2871,6,6,9,6,25/12/2019
2871,3,9,10,9,14/9/2019
2871,2,9,9,6,7/6/2019
2871,2,9,10,5,25/3/2019
8740,8,7,9,6,14/12/2019
8740,8,5,8,7,7/9/2019
8740,10,3,7,7,3/6/2019
8740,8,2,6,3,22/3/2019
9019,5,7,2,3,11/12/2019
9019,5,6,1,5,30/9/2019
9019,7,7,1,3,18/6/2019
9019,5,5,2,2,5/3/2019
11166,3,2,3,1,13/12/2019
11166,5,1,1,1,18/9/2019
11166,3,1,1,1,23/6/2019
11166,5,1,3,2,8/3/2019
2463,3,8,8,4,22/12/2019
2463,4,9,8,5,30/9/2019
2463,5,10,7,9,19/6/2019
7418,4,8,7,5,20/12/2019
7418,3,7,8,4,15/9/2019
2943,6,3,3,5,20/12/2019
2943,9,3,8,6,4/9/2019
2943,6,7,4,6,15/6/2019
2943,6,8,3,5,12/3/2019
1263,4,6,6,4,24/12/2019
1263,2,7,5,6,10/9/2019
1263,2,5,5,2,3/6/2019
1263,4,6,5,3,4/3/2019
2549,5,9,4,4,14/12/2019
2549,7,9,3,8,23/9/2019
2549,6,7,2,4,13/6/2019
6136,9,9,7,7,21/12/2019
6136,10,10,5,8,14/9/2019
3407,7,6,8,7,26/12/2019
3407,8,4,6,6,28/9/2019
8900,3,2,8,2,30/12/2019
8900,4,3,9,7,23/9/2019
8900,2,3,9,5,2/6/2019
5824,1,3,8,4,20/12/2019
5824,3,4,8,6,12/9/2019
4225,3,10,6,4,29/12/2019
4225,1,10,6,7,19/9/2019
4225,1,9,4,2,18/6/2019
4225,1,7,2,5,9/3/2019
6521,5,1,6,6,13/12/2019
6521,6,3,7,7,10/9/2019
6521,3,7,9,7,11/6/2019
6521,9,7,10,6,28/3/2019
1197,4,10,8,6,6/12/2019
1197,2,10,9,8,28/9/2019
1197,1,10,9,6,17/6/2019
1197,1,10,9,4,29/3/2019
2837,8,8,7,5,4/12/2019
2837,9,9,7,6,22/9/2019
2837,9,7,9,8,6/6/2019
9739,10,3,7,8,30/12/2019
9739,8,4,7,4,28/9/2019
9739,7,4,9,4,29/6/2019
9739,7,6,10,9,3/3/2019
4348,6,10,9,6,20/12/2019
4348,7,10,8,6,1/9/2019
4348,6,10,8,8,16/6/2019
7512,6,4,3,6,2/12/2019
7512,6,4,3,5,21/9/2019
7512,4,5,5,5,23/6/2019
5816,1,7,3,2,18/12/2019
5816,2,5,5,5,6/9/2019
5816,8,10,6,7,28/6/2019
5816,9,10,5,8,27/3/2019
5173,7,2,3,6,12/12/2019
5173,7,2,3,6,11/9/2019
8588,9,9,8,9,16/12/2019
8588,8,10,10,10,3/9/2019
8588,9,10,9,7,6/6/2019
8588,8,8,7,9,8/3/2019
4831,5,7,10,7,25/12/2019
9314,6,4,1,2,12/12/2019
9314,5,4,3,4,3/9/2019
9314,6,10,2,7,7/6/2019
9314,5,10,3,4,30/3/2019
9607,7,6,3,5,26/12/2019
9607,8,5,2,4,17/9/2019
9607,7,5,3,3,29/6/2019
9607,6,3,5,6,21/3/2019
9396,2,6,7,6,27/12/2019
9396,2,4,9,6,21/9/2019
9396,4,2,10,7,27/6/2019
9396,4,6,10,4,29/3/2019
1402,2,8,9,4,28/12/2019
1402,5,6,2,2,9/9/2019
1402,7,7,3,7,30/6/2019
1402,8,8,3,4,11/3/2019
4370,4,9,7,5,27/12/2019
4370,6,9,6,5,24/9/2019
5986,4,9,2,3,17/12/2019
5986,2,9,1,5,27/9/2019
6974,5,1,3,3,13/12/2019
6974,7,1,5,6,9/9/2019
6974,8,3,4,6,30/6/2019
6974,3,10,6,6,13/3/2019
11292,10,7,5,8,13/12/2019
11292,10,6,5,6,26/9/2019
10483,4,10,8,9,11/12/2019
10483,2,10,6,5,21/9/2019
10483,1,10,6,7,25/6/2019
10483,10,6,5,6,13/3/2019
221,7,9,7,5,7/12/2019
221,5,8,9,8,13/9/2019
221,7,9,7,8,28/6/2019
221,3,9,5,6,17/3/2019
5006,6,8,4,6,27/12/2019
5006,4,7,4,6,5/9/2019
5006,6,6,5,7,2/6/2019
9872,10,9,3,6,2/12/2019
9872,10,8,5,9,16/9/2019
9872,10,1,1,4,9/6/2019
9872,9,1,3,3,3/3/2019
6779,7,10,9,10,25/12/2019
6779,7,10,8,6,28/9/2019
6779,5,8,8,8,5/6/2019
6779,10,10,7,10,20/3/2019
4551,6,8,9,6,6/12/2019
4551,7,7,8,5,7/9/2019
4551,5,7,8,8,30/6/2019
4551,7,7,9,9,17/3/2019
6526,4,3,7,3,7/12/2019
6526,4,5,8,5,7/9/2019
6526,6,5,6,3,26/6/2019
6526,5,7,5,4,23/3/2019
8425,7,6,4,5,12/12/2019
8425,5,7,10,9,24/9/2019
8425,3,7,10,8,21/6/2019
4332,10,3,6,8,12/12/2019
4332,8,1,5,2,14/9/2019
4332,6,6,5,3,1/6/2019
4332,7,5,7,6,24/3/2019
6436,2,10,6,7,4/12/2019
6436,3,8,4,3,12/9/2019
6436,4,9,3,5,19/6/2019
6436,4,10,3,4,5/3/2019
8946,10,7,7,9,12/12/2019
8946,8,8,7,5,2/9/2019
8946,7,6,6,4,13/6/2019
8946,6,10,6,6,18/3/2019
4410,6,5,7,8,19/12/2019
4410,5,7,5,3,7/9/2019
4410,7,6,3,7,13/6/2019
4410,8,8,5,9,26/3/2019
6360,10,8,8,7,16/12/2019
6360,8,6,6,7,1/9/2019
6360,10,8,7,8,10/6/2019
6038,4,10,4,8,7/12/2019
6038,2,8,6,3,10/9/2019
6038,3,7,5,4,13/6/2019
6038,4,9,6,8,13/3/2019
9960,5,10,1,5,3/12/2019
9960,5,10,3,7,27/9/2019
9960,3,8,3,5,26/6/2019
9960,3,6,3,3,29/3/2019
5646,4,7,1,2,6/12/2019
5646,6,7,2,5,18/9/2019
5646,4,9,2,4,22/6/2019
5646,8,10,3,5,13/3/2019
3661,5,8,7,5,17/12/2019
3661,4,10,5,6,10/9/2019
3661,6,10,7,9,20/6/2019
3661,8,10,8,6,12/3/2019
12120,9,8,9,6,25/12/2019
12120,8,8,10,7,14/9/2019
12120,9,7,8,7,2/6/2019
12120,8,9,6,7,16/3/2019
3872,8,7,6,8,26/12/2019
3872,6,5,4,6,18/9/2019
3872,7,4,6,4,1/6/2019
3872,7,5,8,4,28/3/2019
7617,4,6,9,6,6/12/2019
7617,5,8,10,8,19/9/2019
7617,5,10,10,6,1/6/2019
7617,3,10,10,8,23/3/2019
4671,3,10,8,6,14/12/2019
4671,2,8,8,5,15/9/2019
4671,4,9,6,7,26/6/2019
4671,5,10,4,5,24/3/2019
5780,7,8,7,9,25/12/2019
3456,8,7,1,6,8/12/2019
3456,7,7,3,5,20/9/2019
3456,5,6,3,2,26/6/2019
3456,5,6,3,2,29/3/2019
6237,6,8,4,6,17/12/2019
6237,8,9,3,5,25/9/2019
6237,9,7,1,3,2/6/2019
6237,9,8,10,7,28/3/2019
8140,1,10,8,7,2/12/2019
8140,1,10,9,4,9/9/2019
8140,2,4,1,2,5/6/2019
8140,7,6,10,9,27/3/2019
3406,9,10,10,8,20/12/2019
3406,10,8,10,10,23/9/2019
3406,9,10,9,10,27/6/2019
3406,7,8,9,9,15/3/2019
8667,7,9,7,6,13/12/2019
2911,1,2,7,4,8/12/2019
2911,1,1,9,5,20/9/2019
2911,2,3,9,3,8/6/2019
2911,4,1,9,6,4/3/2019
5577,4,6,2,4,22/12/2019
2613,3,7,2,4,5/12/2019
2613,2,7,2,2,21/9/2019
2613,1,8,1,3,2/6/2019
2613,2,9,1,5,13/3/2019
10408,3,6,7,6,2/12/2019
10408,3,3,7,6,13/9/2019
10408,4,3,7,4,17/6/2019
10408,2,2,9,2,15/3/2019
3297,9,8,4,5,31/12/2019
11670,2,7,5,2,15/12/2019
11670,1,9,3,6,17/9/2019
11670,1,7,1,5,17/6/2019
11670,9,8,8,7,5/3/2019
4177,6,10,10,9,1/12/2019
4177,4,10,8,7,25/9/2019
4177,6,10,7,8,15/6/2019
9444,1,7,6,3,19/12/2019
10254,7,6,3,5,3/12/2019
10254,7,5,3,5,29/9/2019
10254,1,6,10,6,15/6/2019
10254,3,4,10,3,23/3/2019
3889,2,10,8,5,30/12/2019
3889,3,9,5,5,13/9/2019
3889,1,10,3,3,25/6/2019
3889,6,6,10,5,9/3/2019
1986,9,6,1,4,15/12/2019
1986,10,5,1,6,13/9/2019
4400,4,2,3,2,29/12/2019
4400,2,3,4,1,14/9/2019
4400,1,1,3,1,5/6/2019
4400,8,10,3,5,22/3/2019
11263,1,6,1,1,20/12/2019
11263,9,10,5,10,27/9/2019
11263,6,8,7,7,5/6/2019
11263,8,7,7,7,21/3/2019
12344,2,8,7,3,9/12/2019
12344,2,7,6,4,27/9/2019
12344,4,7,8,8,2/6/2019
12344,3,5,6,6,25/3/2019
5730,6,8,5,4,22/12/2019
5730,4,9,5,4,3/9/2019
5730,6,10,3,6,8/6/2019
5295,7,9,3,5,10/12/2019
5295,9,9,1,4,6/9/2019
5295,7,8,1,7,25/6/2019
5295,6,6,3,4,25/3/2019
3914,1,7,3,4,30/12/2019
3914,1,7,2,5,9/9/2019
3914,2,7,2,2,11/6/2019
3914,3,8,3,3,1/3/2019
92,5,7,7,7,1/12/2019
92,5,6,6,7,28/9/2019
92,3,8,7,7,26/6/2019
92,2,7,7,5,24/3/2019
11719,6,2,10,4,12/12/2019
11719,5,3,10,8,15/9/2019
11719,5,1,8,2,6/6/2019
11719,10,9,8,7,9/3/2019
10850,10,1,5,3,28/12/2019
10850,9,1,5,6,10/9/2019
12125,8,8,3,6,16/12/2019
12125,9,7,4,5,25/9/2019
384,6,9,7,7,8/12/2019
384,7,10,6,5,11/9/2019
384,8,10,7,9,24/6/2019
747,4,10,8,7,11/12/2019
747,3,10,10,8,3/9/2019
747,2,10,8,6,25/6/2019
747,3,8,8,4,11/3/2019
161,2,7,2,4,18/12/2019
161,4,7,2,6,16/9/2019
161,2,7,1,3,14/6/2019
161,1,6,1,2,28/3/2019
7823,5,1,6,5,16/12/2019
7823,7,3,6,7,4/9/2019
11639,8,4,2,4,23/12/2019
11639,10,3,3,3,27/9/2019
10612,6,10,9,7,8/12/2019
10612,2,2,7,2,9/9/2019
10612,4,1,7,3,9/6/2019
10612,2,1,7,1,16/3/2019
11211,6,9,7,5,22/12/2019
11211,5,8,9,9,8/9/2019
11211,7,7,9,5,29/6/2019
11211,6,9,8,8,12/3/2019
3136,5,7,7,5,10/12/2019
3136,8,1,6,7,9/9/2019
3136,6,3,8,4,24/6/2019
3136,4,3,7,4,17/3/2019
12336,6,7,4,6,23/12/2019
9893,4,10,3,6,26/12/2019
9893,2,10,2,4,1/9/2019
9893,4,7,9,4,14/6/2019
9893,3,7,10,8,10/3/2019
2898,9,6,8,7,24/12/2019
2898,7,5,7,6,12/9/2019
2898,5,7,3,3,14/6/2019
2898,7,6,5,8,30/3/2019
9868,1,7,9,5,8/12/2019
9868,3,5,8,5,13/9/2019
9868,2,7,10,6,20/6/2019
9868,2,7,10,4,6/3/2019
8607,5,6,10,9,18/12/2019
8607,7,6,10,7,15/9/2019
8607,5,10,8,6,26/6/2019
8607,6,10,6,8,1/3/2019
6566,8,3,9,7,26/12/2019
6566,8,1,8,6,28/9/2019
12338,4,9,3,6,25/12/2019
12338,9,9,6,10,5/9/2019
12338,9,9,7,10,29/6/2019
12338,10,8,9,7,8/3/2019
4533,3,4,10,4,14/12/2019
4533,2,5,10,6,15/9/2019
4533,4,7,10,8,30/6/2019
4533,3,9,9,7,4/3/2019
12081,10,6,7,8,23/12/2019
12081,10,4,8,6,17/9/2019
12081,10,2,10,9,11/6/2019
12081,3,4,3,2,14/3/2019
6817,4,2,9,3,5/12/2019
8080,5,5,7,5,13/12/2019
3572,6,3,3,5,8/12/2019
3572,7,5,3,7,18/9/2019
3572,5,7,2,6,26/6/2019
3572,4,7,4,5,15/3/2019
8467,4,8,7,5,10/12/2019
8467,7,5,7,8,4/9/2019
8467,8,6,6,8,26/6/2019
8467,9,5,4,5,16/3/2019
7897,5,6,5,7,21/12/2019
7897,7,7,7,7,5/9/2019
12375,3,10,1,3,12/12/2019
12375,4,8,2,6,2/9/2019
12375,3,8,2,2,24/6/2019
5972,2,1,8,5,28/12/2019
5972,1,3,6,1,21/9/2019
5972,2,4,5,1,24/6/2019
5972,3,6,6,7,28/3/2019
8148,5,1,10,5,21/12/2019
8148,6,3,10,6,1/9/2019
8148,5,5,8,7,8/6/2019
8148,3,6,6,7,23/3/2019
11726,3,7,10,4,3/12/2019
11726,4,8,9,8,16/9/2019
11726,4,9,10,7,29/6/2019
11726,5,10,9,6,5/3/2019
10652,4,9,2,3,20/12/2019
10652,3,10,3,5,13/9/2019
10652,2,10,1,3,11/6/2019
10652,4,8,2,4,3/3/2019
5976,4,3,7,3,17/12/2019
5976,6,4,9,6,16/9/2019
5976,8,4,8,8,17/6/2019
5976,10,3,7,6,13/3/2019
10557,9,3,10,8,3/12/2019
10557,7,10,7,6,12/9/2019
10557,7,5,5,4,29/6/2019
1972,5,9,8,9,29/12/2019
1972,6,10,10,9,19/9/2019
10931,5,7,7,4,13/12/2019
10931,5,9,8,9,18/9/2019
10931,4,10,9,6,10/6/2019
10931,5,9,10,8,18/3/2019
6520,9,9,7,9,29/12/2019
6520,10,7,6,9,26/9/2019
6520,9,6,8,5,21/6/2019
6520,10,5,6,9,31/3/2019
4033,1,7,6,4,17/12/2019
4033,1,7,7,7,5/9/2019
833,10,3,7,6,19/12/2019
833,10,2,9,6,23/9/2019
833,10,1,10,7,12/6/2019
833,8,1,10,7,3/3/2019
11746,9,3,3,4,17/12/2019
11746,3,10,7,5,2/9/2019
11746,4,8,7,8,24/6/2019
11746,3,7,8,6,7/3/2019
153,8,10,8,6,15/12/2019
153,3,8,7,8,24/9/2019
153,10,10,3,6,16/6/2019
153,8,10,4,7,4/3/2019
5740,5,8,4,6,13/12/2019
5740,5,9,5,6,9/9/2019
5740,7,6,10,7,14/6/2019
5740,9,7,10,7,8/3/2019
1888,6,3,6,7,10/12/2019
1888,5,3,7,3,22/9/2019
1888,5,2,5,4,5/6/2019
1888,6,3,7,7,8/3/2019
1230,9,7,7,8,1/12/2019
1230,10,7,7,10,18/9/2019
1230,10,8,8,9,8/6/2019
1230,2,1,7,2,30/3/2019
10894,4,9,9,8,25/12/2019
10894,2,9,9,4,19/9/2019
10894,2,10,10,8,1/6/2019
4698,1,1,8,4,11/12/2019
4698,3,2,9,2,2/9/2019
4698,3,2,8,2,5/6/2019
9193,8,3,7,6,7/12/2019
9193,9,2,5,5,9/9/2019
9193,10,2,5,7,8/6/2019
9193,2,8,7,7,31/3/2019
8918,2,9,6,3,5/12/2019
8918,1,9,5,5,20/9/2019
8918,3,10,3,5,11/6/2019
8918,5,9,5,8,26/3/2019
1741,10,7,10,10,16/12/2019
11603,3,7,7,6,29/12/2019
11603,1,5,8,6,30/9/2019
6890,7,9,3,8,28/12/2019
6890,8,9,2,5,6/9/2019
6890,9,10,1,8,5/6/2019
4541,8,7,4,6,6/12/2019
4541,7,10,6,9,25/9/2019
4541,5,10,4,4,24/6/2019
4541,6,9,3,4,30/3/2019
11356,5,9,9,5,10/12/2019
11356,7,9,7,5,23/9/2019
11356,9,10,9,10,1/6/2019
11356,10,10,7,8,28/3/2019
2674,5,7,8,6,21/12/2019
2674,6,5,6,6,1/9/2019
2674,7,4,5,5,15/6/2019
11544,4,3,2,2,11/12/2019
11544,3,5,3,4,3/9/2019
11544,5,5,3,3,15/6/2019
11544,3,3,3,2,12/3/2019
3813,9,2,6,4,23/12/2019
3813,7,2,6,4,11/9/2019
3813,5,2,4,2,9/6/2019
3813,7,1,3,4,19/3/2019
6068,3,6,6,7,26/12/2019
6068,7,9,1,4,18/9/2019
6068,7,10,3,7,9/6/2019
6068,6,8,4,8,22/3/2019
8711,2,5,4,1,16/12/2019
8711,1,5,2,3,8/9/2019
8711,1,4,3,1,11/6/2019
8711,1,4,2,1,9/3/2019
3718,5,6,7,8,29/12/2019
3863,6,8,7,7,28/12/2019
3863,7,10,9,6,28/9/2019
3863,6,9,7,7,9/6/2019
3863,8,10,8,7,19/3/2019
7164,9,8,7,7,4/12/2019
7164,10,2,7,7,15/9/2019
7164,9,1,5,4,2/6/2019
2733,4,7,10,9,12/12/2019
2733,4,8,5,4,8/9/2019
2733,3,7,3,4,23/6/2019
2733,1,5,4,3,14/3/2019
11991,7,7,10,8,27/12/2019
11991,5,8,10,8,19/9/2019
11991,5,5,2,5,29/6/2019
11991,7,4,3,6,9/3/2019
7194,3,3,10,3,15/12/2019
7772,7,8,3,8,13/12/2019
7772,10,6,6,6,22/9/2019
7772,9,6,6,5,6/6/2019
7772,8,8,5,6,16/3/2019
311,1,1,6,1,3/12/2019
311,1,2,5,2,21/9/2019
311,1,2,7,5,13/6/2019
311,4,4,6,5,22/3/2019
10286,9,4,6,5,17/12/2019
10286,7,9,6,6,1/9/2019
10286,5,8,6,7,19/6/2019
10286,6,7,7,6,28/3/2019
7714,5,3,2,2,27/12/2019
7714,4,2,3,3,13/9/2019
7714,4,8,6,4,26/6/2019
7714,6,7,5,4,3/3/2019
2315,1,1,8,4,25/12/2019
2315,2,1,10,6,6/9/2019
9308,6,8,7,5,31/12/2019
4328,8,8,6,6,31/12/2019
4328,6,10,6,6,14/9/2019
4328,6,10,5,5,15/6/2019
4328,6,10,5,6,30/3/2019
3235,5,8,10,6,19/12/2019
3235,5,10,10,10,25/9/2019
3235,5,10,10,10,23/6/2019
3235,4,8,10,8,19/3/2019
6886,10,3,5,7,13/12/2019
6886,10,3,5,7,15/9/2019
6886,2,7,10,5,18/6/2019
6886,4,4,6,2,3/3/2019
997,4,3,6,5,4/12/2019
997,4,3,4,1,4/9/2019
997,6,3,6,6,26/6/2019
10588,1,3,6,1,7/12/2019
10588,3,4,5,6,17/9/2019
10588,5,4,4,5,9/6/2019
10588,5,2,10,4,21/3/2019
3613,3,9,8,8,27/12/2019
12027,9,6,7,6,9/12/2019
12027,9,3,10,6,8/9/2019
12027,8,1,10,4,25/6/2019
1489,4,5,7,5,23/12/2019
1489,3,3,6,6,19/9/2019
1489,1,1,5,3,4/6/2019
1489,2,1,6,2,27/3/2019
11151,4,1,6,2,22/12/2019
11151,5,9,8,7,10/9/2019
11151,6,8,8,9,7/6/2019
11151,3,8,10,8,23/3/2019
2332,10,10,6,10,27/12/2019
2332,8,10,7,7,8/9/2019
2332,8,9,9,6,15/6/2019
2332,7,1,9,4,1/3/2019
4203,8,3,4,4,8/12/2019
5121,3,8,7,5,25/12/2019
5121,2,10,8,7,1/9/2019
5121,4,10,7,8,26/6/2019
5121,2,10,5,4,22/3/2019
9744,9,7,3,5,11/12/2019
9744,10,7,2,6,1/9/2019
11188,9,10,6,9,18/12/2019
11188,8,9,8,8,17/9/2019
11188,7,10,9,10,21/6/2019
11188,7,10,8,9,3/3/2019
207,7,3,8,4,16/12/2019
207,1,8,6,4,15/9/2019
207,2,7,8,6,1/6/2019
207,2,6,8,7,7/3/2019
2195,8,6,10,10,8/12/2019
2195,10,7,9,10,10/9/2019
2195,9,5,10,9,18/6/2019
2195,7,3,10,7,29/3/2019
9479,10,1,8,7,31/12/2019
9479,9,3,6,7,8/9/2019
9479,7,4,4,6,24/6/2019
9479,4,6,10,6,22/3/2019
7145,6,8,3,7,23/12/2019
7145,6,8,3,3,6/9/2019
7145,7,9,3,8,19/6/2019
7145,6,10,1,3,8/3/2019
8261,8,10,5,6,19/12/2019
8261,8,10,4,6,27/9/2019
8261,1,3,2,1,27/6/2019
8261,2,1,1,2,4/3/2019
2526,4,8,9,9,24/12/2019
2526,3,10,2,4,23/9/2019
2526,1,10,1,6,27/6/2019
9439,9,9,6,10,13/12/2019
9439,7,8,8,5,12/9/2019
9439,3,10,7,6,5/6/2019
9439,7,3,3,4,14/3/2019
1976,2,6,8,6,10/12/2019
1976,3,5,6,4,10/9/2019
1976,1,4,8,4,2/6/2019
1976,1,3,9,6,28/3/2019
2864,4,6,7,5,9/12/2019
2864,6,8,7,7,11/9/2019
2864,5,9,8,7,2/6/2019
2864,8,8,10,10,13/3/2019
6577,8,3,1,6,27/12/2019
6577,9,7,8,7,18/9/2019
6577,10,7,7,9,15/6/2019
12177,3,10,9,5,4/12/2019
12177,4,10,8,7,10/9/2019
12177,2,10,8,4,18/6/2019
12177,8,6,1,3,10/3/2019
5190,9,1,6,4,26/12/2019
5190,9,2,6,6,3/9/2019
5190,8,1,6,4,1/6/2019
5190,9,1,8,5,12/3/2019
6455,7,4,9,4,28/12/2019
6455,6,6,7,4,3/9/2019
6455,7,4,7,8,17/6/2019
6455,7,5,8,5,22/3/2019
8671,6,6,2,3,9/12/2019
8017,9,1,9,6,14/12/2019
8017,10,1,10,8,12/9/2019
8017,10,1,8,5,10/6/2019
4081,7,2,7,3,8/12/2019
4081,7,2,8,4,12/9/2019
4081,8,2,9,5,17/6/2019
4081,9,2,10,6,1/3/2019
10250,7,9,4,4,6/12/2019
10250,9,9,1,6,26/9/2019
10250,9,9,1,7,21/6/2019
10250,8,10,1,4,13/3/2019
4577,7,9,9,6,5/12/2019
4577,10,5,10,10,18/9/2019
4577,10,6,9,8,13/6/2019
2282,5,8,9,5,7/12/2019
2282,4,10,7,9,25/9/2019
2282,3,8,8,5,29/6/2019
2282,5,10,7,6,24/3/2019
6729,2,2,10,5,25/12/2019
6729,1,1,8,5,14/9/2019
6729,2,3,7,4,18/6/2019
6729,4,2,6,4,19/3/2019
1558,3,1,3,1,6/12/2019
7625,5,1,3,4,29/12/2019
7625,3,2,4,4,28/9/2019
7625,4,3,2,5,25/6/2019
7625,3,2,1,2,15/3/2019
12271,1,8,7,5,16/12/2019
12271,2,7,5,5,13/9/2019
12271,2,7,3,2,3/6/2019
12271,1,5,3,4,5/3/2019
6742,5,4,3,2,20/12/2019
6742,3,2,3,4,3/9/2019
6742,2,1,2,1,7/6/2019
7684,8,10,1,5,5/12/2019
7684,10,10,2,6,11/9/2019
7684,10,10,1,8,13/6/2019
7684,10,10,1,5,21/3/2019
1426,3,10,8,6,24/12/2019
1426,5,8,7,5,27/9/2019
4170,1,2,9,2,1/12/2019
4170,1,2,10,5,10/9/2019
4170,1,1,10,6,3/6/2019
4170,1,1,10,5,11/3/2019
2391,1,5,8,2,11/12/2019
2391,1,3,6,2,30/9/2019
2391,1,5,6,5,7/6/2019
2391,1,5,7,2,6/3/2019
1962,2,7,8,4,22/12/2019
1962,1,9,8,5,14/9/2019
10948,3,5,3,4,22/12/2019
10948,2,7,2,5,25/9/2019
10948,4,9,1,4,3/6/2019
10948,3,8,3,6,26/3/2019
5386,10,9,1,6,2/12/2019
5386,9,10,3,9,19/9/2019
5386,7,10,5,7,9/6/2019
11308,6,1,8,7,26/12/2019
11308,5,1,6,5,21/9/2019
11308,4,1,5,3,23/6/2019
